,Song Name,Happy-Sad(+ve happy),Romance,Energy(fast-slow),Popularity(youtube views-in millions),aaron smith,adriana,alan walker,avicii,beatles,bryan adams,camila cabello,chainsmokers,charlie puth,clarity,coldplay,drake,dua lipa,ed sheeran,ellie goulding,eminem,flo rida,george michael,guns n' roses,imagine dragons,jb,john legend,kendrick lamar,lady gaga,lauv,lewis capaldi,linkin park,lynyrd skyrnd,major lazer,maroon 5,matthew mole,michael buble,one direction,"sean paul, sia",shakira,shawn mendes,sia,sub urban,taylor swift,the cranberries,the weeknd,tones and i,vicetone,welshly arms,EDM,country,electropop,hard rock,hip-hop,pop,rap,rock
23,Sweet Child O’ Mine,1,7,7,0.2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
24,Baby,5,8,5,0.4448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
25,Sweet Home Alabama,3,6,7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
26,Not Afraid,2,0,9,0.2776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
27,Low,8,3,9,0.0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
28,Hymm For The Weekend,7,5,8,0.255,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
29,Zombie,-5,2,1,0.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
30,All The Stars,-6,0,7,0.0502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
31,Hotline Bling,-7,4,1,0.3222,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
32,All Of Me,6,7,0,0.3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
